unlocode,country,location_code,name,name_ascii,subdivision,latitude,longitude
CMMOU,CM,MOU,Moudi Terminal,Moudi Terminal,,4.116666666666666,8.483333333333333
CNAIN,CN,AIN,Huaiyin,Huaiyin,JS,33.63333333333333,119.01666666666667
CNAJG,CN,AJG,Aojiang Pt,Aojiang Pt,ZJ,27.583333333333332,120.45
CNANG,CN,ANG,Huangxian,Huangxian,33,29.55,121.56666666666666
CNANQ,CN,ANQ,Anqiu,Anqiu,SD,36.416666666666664,119.18333333333334
CNANT,CN,ANT,Anting,Anting,SH,31.3,121.15
CNAPP,CN,APP,Anpu,Anpu,GD,21.383333333333333,109.83333333333333
CNAQG,CN,AQG,Anqing,Anqing,AH,30.516666666666666,117.03333333333333
CNASW,CN,ASW,Aoshanwei,Aoshanwei,SD,36.35,120.66666666666667
CNBCG,CN,BCG,Baiceng,Baiceng,GZ,25.433333333333334,105.8
CNBCO,CN,BCO,Bacao,Bacao,GZ,25.466666666666665,105.78333333333333
CNBDG,CN,BDG,Badong,Badong,HB,31.033333333333335,110.38333333333334
CNBEI,CN,BEI,Beilun,Beilun,ZJ,29.933333333333334,121.88333333333334
CNBHX,CN,BHX,Binhai,Binhai,JS,33.71666666666667,119.61666666666666
CNBIH,CN,BIH,Beihai Pt,Beihai Pt,GX,21.466666666666665,109.11666666666666
CNBIJ,CN,BIJ,Beijiao,Beijiao,GD,22.916666666666668,113.2
